Geography,Name,Median Household Income,Poverty Rate (%),Unemployment Rate (%),Bachelor's Degree or Higher (%)
8600000US00601,ZCTA5 00601,10833,60.9,14.0,16.7
8600000US00602,ZCTA5 00602,16353,53.2,13.2,21.6
8600000US00603,ZCTA5 00603,16323,50.3,9.4,20.9
8600000US00606,ZCTA5 00606,14138,58.9,3.4,11.6
8600000US00610,ZCTA5 00610,17265,49.3,5.6,13.7
8600000US00612,ZCTA5 00612,17752,46.8,7.6,24.7
8600000US00616,ZCTA5 00616,15115,49.6,3.7,14.4
8600000US00617,ZCTA5 00617,15461,53.8,5.8,16.6
8600000US00622,ZCTA5 00622,14993,60.5,2.7,18.2
8600000US00623,ZCTA5 00623,17044,49.5,4.3,24.1
8600000US00624,ZCTA5 00624,15467,60.0,11.8,16.1
8600000US00627,ZCTA5 00627,19490,44.1,8.4,20.7
8600000US00631,ZCTA5 00631,9613,58.2,16.6,9.3
8600000US00637,ZCTA5 00637,14977,50.8,9.4,19.7
8600000US00638,ZCTA5 00638,12588,59.7,6.9,11.2
8600000US00641,ZCTA5 00641,15542,53.9,12.6,18.4
8600000US00646,ZCTA5 00646,27924,36.1,8.9,29.9
8600000US00647,ZCTA5 00647,13668,54.9,6.8,14.0
8600000US00650,ZCTA5 00650,15090,54.2,7.7,10.3
8600000US00652,ZCTA5 00652,14903,49.1,3.0,20.2
8600000US00653,ZCTA5 00653,13596,68.2,13.4,16.0
8600000US00656,ZCTA5 00656,15440,54.3,9.0,18.6
8600000US00659,ZCTA5 00659,19130,46.1,7.7,22.1
8600000US00660,ZCTA5 00660,21323,35.8,9.1,22.6
8600000US00662,ZCTA5 00662,16050,54.8,7.2,19.4
8600000US00664,ZCTA5 00664,15976,57.0,13.1,15.8
8600000US00667,ZCTA5 00667,13527,60.0,4.2,14.2
8600000US00669,ZCTA5 00669,11967,59.8,13.5,17.3
8600000US00670,ZCTA5 00670,14989,56.4,2.4,15.1
8600000US00674,ZCTA5 00674,18796,45.4,8.7,22.2
8600000US00676,ZCTA5 00676,15277,53.0,9.0,19.3
8600000US00677,ZCTA5 00677,16737,50.4,10.5,18.7
8600000US00678,ZCTA5 00678,14824,57.9,6.1,18.0
8600000US00680,ZCTA5 00680,15173,50.3,8.2,18.2
8600000US00682,ZCTA5 00682,15868,51.2,8.1,25.5
8600000US00683,ZCTA5 00683,15030,48.1,2.7,21.7
8600000US00685,ZCTA5 00685,14686,56.8,11.0,17.2
8600000US00687,ZCTA5 00687,16086,55.3,9.7,15.0
8600000US00688,ZCTA5 00688,14135,58.0,3.2,12.3
8600000US00690,ZCTA5 00690,19688,41.7,10.7,31.6
8600000US00692,ZCTA5 00692,18003,50.9,8.2,18.0
8600000US00693,ZCTA5 00693,16709,50.3,4.2,18.7
8600000US00694,ZCTA5 00694,11250,81.3,0.0,11.1
8600000US00698,ZCTA5 00698,15414,52.0,11.1,20.1
8600000US00703,ZCTA5 00703,14968,54.9,8.1,13.3
8600000US00704,ZCTA5 00704,12341,56.3,8.1,17.5
8600000US00705,ZCTA5 00705,16744,49.5,3.2,21.1
8600000US00707,ZCTA5 00707,17866,56.3,11.6,17.0
8600000US00714,ZCTA5 00714,15901,51.6,10.5,16.9
8600000US00715,ZCTA5 00715,13534,65.3,8.7,10.0
8600000US00716,ZCTA5 00716,18609,48.4,9.3,32.5
8600000US00717,ZCTA5 00717,11692,61.2,11.1,26.7
8600000US00718,ZCTA5 00718,18247,53.7,5.2,19.5
8600000US00719,ZCTA5 00719,17592,49.8,5.7,14.9
8600000US00720,ZCTA5 00720,14578,59.0,10.2,15.7
8600000US00723,ZCTA5 00723,14343,56.5,11.7,15.3
8600000US00725,ZCTA5 00725,20704,42.2,9.4,25.6
8600000US00727,ZCTA5 00727,29304,30.6,6.7,33.4
8600000US00728,ZCTA5 00728,17689,51.4,9.7,22.3
8600000US00729,ZCTA5 00729,21243,42.6,11.0,19.8
8600000US00730,ZCTA5 00730,15459,53.2,10.3,22.5
8600000US00731,ZCTA5 00731,15894,54.4,8.9,18.5
8600000US00735,ZCTA5 00735,20450,43.5,4.8,17.9
8600000US00736,ZCTA5 00736,21023,42.3,7.8,22.8
8600000US00738,ZCTA5 00738,20917,43.6,13.0,22.1
8600000US00739,ZCTA5 00739,23629,37.6,6.5,21.8
8600000US00740,ZCTA5 00740,13077,58.5,17.9,11.5
8600000US00741,ZCTA5 00741,19237,45.1,10.3,12.0
8600000US00745,ZCTA5 00745,22694,40.2,12.6,19.0
8600000US00751,ZCTA5 00751,14236,59.5,5.9,15.6
8600000US00754,ZCTA5 00754,17192,48.9,7.0,17.6
8600000US00757,ZCTA5 00757,16344,50.8,5.4,22.2
8600000US00765,ZCTA5 00765,18297,41.4,6.3,11.3
8600000US00766,ZCTA5 00766,17210,54.2,12.9,16.0
8600000US00767,ZCTA5 00767,16664,51.7,9.4,14.2
8600000US00769,ZCTA5 00769,18053,49.6,5.6,19.2
8600000US00771,ZCTA5 00771,19869,47.7,9.1,18.9
8600000US00772,ZCTA5 00772,16118,54.6,15.0,11.2
